	Silent/kb	TotMissense	TotSplicing	TotLOF	Missense/kb	LOF/kb	LOF/silent	Splicing/silent	Missense/silent	Hifi/Lofi	LOF/benign	Splicing/benign	Missense/benign	Hifi/benign	avgPolyphen2	LOF/tot	Missense/tot	Splicing/tot	LOF/missense	Mifi/kb	Nonstop/kb	Inframe/kb	Complex/kb	Compound/benign	Compound/kB	Damaging/kb	Damaging/benign	Damaging/Lofi	MissenseEntr	HiMisFreq	FSEntr	HiFSFreq	SplicEntr	HiSplicFreq	NonsenseEntr	HiNonsenseFreq	TotMifi	Label
ERN1	0.0	4	0	0	0.0013633265167007499	0.0	88.0	88.0	88.0	0.0	0.0	0.0	4.0	0.0	0.075	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0010224948875255625	0.0	0.0	0.0	0.0	0.25	0	0	0	0	0	0	0	Unlabeled
CTU2_ENST00000567949	0.0	1	0	0	0.0005678591709256105	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0005678591709256105	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
RCAN2	0.003367003367003367	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
SLC30A6	0.0	1	0	0	0.0007215007215007215	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0007215007215007215	0.0007215007215007215	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
ZNF354C	0.0	3	0	0	0.0018018018018018018	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0018018018018018018	0.0006006006006006006	104.0	16.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
SLA2	0.001272264631043257	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
CSMD3	0.0006292700467457749	34	0	3	0.0030564545127651924	0.00026968716289104636	0.42857142857142855	0.0	4.857142857142857	16.0	0.42857142857142855	0.0	4.857142857142857	0.8571428571428571	0.883	0.06818181818181818	0.7727272727272727	0.0	0.08823529411764706	8.989572096368213e-05	0.0	0.0	0.0	4.857142857142857	0.0030564545127651924	0.0006292700467457749	1.0	16.0	0.010920400412667064	0.029411764705882353	0	0	0	0	2.220446049250313e-16	0.3333333333333333	1	Unlabeled
ATG9A	0.0003968253968253968	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
HAVCR1_ENST00000425854	0.0	1	0	0	0.0008291873963515755	0.0	88.0	88.0	88.0	0.0	0.0	0.0	1.0	0.0	0.026	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
WDR49_ENST00000453925	0.0	1	0	0	0.0005027652086475615	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0005027652086475615	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SLC2A13_ENST00000280871	0.0	3	0	0	0.0015408320493066256	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0.6005	0.0	1.0	0.0	0.0	0.0005136106831022085	0.0	0.0	0.0	104.0	0.0015408320493066256	0.001027221366204417	104.0	16.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	1	Unlabeled
SAMD9	0.00020964360587002095	3	0	1	0.0006289308176100629	0.00020964360587002095	1.0	0.0	3.0	16.0	1.0	0.0	3.0	0.0	0	0.2	0.6	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	3.0	0.0006289308176100629	0.0	0.0	16.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0.0	1.0	0	Unlabeled
NEK10_ENST00000357467	0.0008230452674897119	1	1	0	0.0008230452674897119	0.0	0.0	1.0	1.0	16.0	0.0	1.0	1.0	1.0	1.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0008230452674897119	0.0008230452674897119	1.0	16.0	0.0	1.0	0	0	0.0	1.0	0	0	0	Unlabeled
AOX1	0.00024894199651481205	2	0	0	0.0004978839930296241	0.0	0.0	0.0	2.0	16.0	0.0	0.0	2.0	0.0	0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0004978839930296241	0.0	0.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
SPIRE2	0.0009324009324009324	3	0	0	0.0013986013986013986	0.0	0.0	0.0	1.5	0.0	0.0	0.0	1.0	0.0	0.006	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0009324009324009324	0.0	0.0	0.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
RHOT1	0.0004816955684007707	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
DPCR1_ENST00000462446	0.00023912003825920613	3	0	1	0.0007173601147776184	0.00023912003825920613	1.0	0.0	3.0	16.0	1.0	0.0	3.0	0.0	0	0.2	0.6	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	3.0	0.0007173601147776184	0.0	0.0	16.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0.0	1.0	0	Unlabeled
C2orf61_ENST00000445927	0.0013386880856760374	2	0	0	0.002677376171352075	0.0	0.0	0.0	2.0	16.0	0.0	0.0	2.0	1.0	0.958	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.002677376171352075	0.0013386880856760374	1.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
DNAH17	0.0	1	0	0	7.477194556602363e-05	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	7.477194556602363e-05	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
TRPS1_ENST00000395715	0.0007722007722007722	1	0	0	0.0002574002574002574	0.0	0.0	0.0	0.3333333333333333	16.0	0.0	0.0	0.3333333333333333	0.0	0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0002574002574002574	0.0	0.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
TXLNA	0.0	1	0	0	0.0006093845216331506	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0006093845216331506	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
GPR161_ENST00000546300	0.0008012820512820513	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
PPP3CA	0.001277139208173691	1	0	0	0.0006385696040868455	0.0	0.0	0.0	0.5	16.0	0.0	0.0	0.5	0.0	0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0006385696040868455	0.0	0.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
C17orf70_ENST00000327787	0.0003779289493575208	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
PCDH19	0.0023208587177255585	4	0	1	0.0011604293588627793	0.0002901073397156948	0.125	0.0	0.5	1.0	0.1111111111111111	0.0	0.4444444444444444	0.1111111111111111	0.47950000000000004	0.07692307692307693	0.3076923076923077	0.0	0.25	0.0	0.0	0.0	0.0	0.3333333333333333	0.0008703220191470844	0.0002901073397156948	0.1111111111111111	1.0	0.0	0.25	0	0	0	0	0.0	1.0	0	Unlabeled
RNF151	0.0	1	0	0	0.0013605442176870747	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0013605442176870747	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SCN7A_ENST00000409855	0.00019805902158843335	2	0	0	0.0003961180431768667	0.0	0.0	0.0	2.0	16.0	0.0	0.0	2.0	0.0	0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0003961180431768667	0.0	0.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
OR2Z1	0.0	1	0	0	0.0010582010582010583	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	0.5	0.0	0.0	0.0	0.0010582010582010583	0.0	0.0	104.0	0.0021164021164021165	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
OSTM1	0.0	1	0	0	0.0009950248756218905	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0009950248756218905	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
NAALADL1	0.000449842555105713	1	0	0	0.000449842555105713	0.0	0.0	0.0	1.0	16.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.000449842555105713	0.0	0.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
ABCC1	0.0006527415143603133	6	0	0	0.0013054830287206266	0.0	0.0	0.0	2.0	16.0	0.0	0.0	2.0	0.0	0.329	0.0	0.6666666666666666	0.0	0.0	0.0002175805047867711	0.0	0.0	0.0	2.0	0.0013054830287206266	0.0002175805047867711	0.3333333333333333	16.0	2.220446049250313e-16	0.16666666666666666	0	0	0	0	0	0	1	Unlabeled
MAPK9_ENST00000425491	0.0	2	0	0	0.0027434842249657062	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0027434842249657062	0.0	104.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
PTGFR	0.0	3	0	0	0.003355704697986577	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.003355704697986577	0.0	104.0	16.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
TUB	0.0005931198102016608	7	0	1	0.004151838671411625	0.0005931198102016608	1.0	0.0	7.0	16.0	1.0	0.0	7.0	0.0	0	0.1111111111111111	0.7777777777777778	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	7.0	0.004151838671411625	0.0	0.0	16.0	2.220446049250313e-16	0.14285714285714285	0	0	0	0	0.0	1.0	0	Unlabeled
RAD51D_ENST00000345365	0.0010131712259371835	2	0	0	0.002026342451874367	0.0	0.0	0.0	2.0	16.0	0.0	0.0	2.0	0.0	0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.002026342451874367	0.0	0.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
NAT8	0.0	2	0	0	0.0029239766081871343	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0029239766081871343	0.0	104.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
ELAVL2_ENST00000359598	0.0	1	0	0	0.000859106529209622	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.000859106529209622	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SLFN12L_ENST00000449046	0.0005376344086021505	4	0	0	0.002150537634408602	0.0	0.0	0.0	4.0	16.0	0.0	0.0	4.0	0.0	0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.002150537634408602	0.0	0.0	16.0	0.0	0.25	0	0	0	0	0	0	0	Unlabeled
OSBP2	0.0003635041802980734	2	0	0	0.0007270083605961468	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.426	0.0	0.6666666666666666	0.0	0.0	0.0003635041802980734	0.0	0.0	0.0	0.5	0.0003635041802980734	0.0003635041802980734	0.5	1.0	0.0	0.5	0	0	0	0	0	0	1	Unlabeled
SETDB1	0.00025799793601651185	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
AMER1	0.00041407867494824016	6	0	0	0.002484472049689441	0.0	0.0	0.0	6.0	16.0	0.0	0.0	6.0	1.0	0.989	0.0	0.8571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.002484472049689441	0.00041407867494824016	1.0	16.0	2.220446049250313e-16	0.16666666666666666	0	0	0	0	0	0	0	Unlabeled
ZNF530	0.0	0	0	1	0.0	0.0005555555555555556	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	1.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	104.0	16.0	0	0	0	0	0	0	0.0	1.0	0	Unlabeled
UBL7	0.0	1	0	0	0.0008748906386701663	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0008748906386701663	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
GOSR2_ENST00000415811	0.0017006802721088435	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
PMS1	0.0	2	0	0	0.0007145409074669524	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0007145409074669524	0.0	104.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
TRIM10_ENST00000376704	0.0008417508417508417	0	0	0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0	0	0	0	0	0	0	0	0	Unlabeled
TFAP2E	0.0	1	0	0	0.0007524454477050414	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0007524454477050414	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SCFD1	0.0	1	0	0	0.0005184033177812338	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0005184033177812338	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SYNDIG1	0.0	1	0	0	0.001287001287001287	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0.998	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.001287001287001287	0.001287001287001287	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
AARS2	0.0	3	0	0	0.0010141987829614604	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0.9784999999999999	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0010141987829614604	0.000676132521974307	104.0	16.0	0.05663301226513251	0.6666666666666666	0	0	0	0	0	0	0	Unlabeled
PIP5K1A_ENST00000368888	0.0005920663114268798	1	0	0	0.0005920663114268798	0.0	0.0	0.0	1.0	16.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0005920663114268798	0.0	0.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
MARVELD3_ENST00000268485	0.0008291873963515755	1	0	0	0.0008291873963515755	0.0	0.0	0.0	1.0	16.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0008291873963515755	0.0	0.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
PTTG1	0.0	1	0	0	0.0016420361247947454	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0016420361247947454	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
RERGL_ENST00000229002	0.0	1	0	0	0.0016181229773462784	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0016181229773462784	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
CNOT4_ENST00000315544	0.0005787037037037037	1	0	0	0.0005787037037037037	0.0	0.0	0.0	1.0	16.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0005787037037037037	0.0	0.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
OR2AE1	0.0	1	0	0	0.00102880658436214	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.00102880658436214	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
KIAA1432	0.0	3	0	2	0.0007434944237918215	0.0004956629491945477	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0.316	0.4	0.6	0.0	0.6666666666666666	0.00024783147459727387	0.0	0.0	0.0	104.0	0.0007434944237918215	0.00024783147459727387	104.0	16.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0.0	0.5	1	Unlabeled
NARS	0.0006071645415907711	4	0	0	0.0024286581663630845	0.0	0.0	0.0	4.0	16.0	0.0	0.0	4.0	0.0	0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0024286581663630845	0.0	0.0	16.0	0.0	0.25	0	0	0	0	0	0	0	Unlabeled
FAM196A	0.0	2	0	0	0.001388888888888889	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.001388888888888889	0.0	104.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
FBXO22_ENST00000453211	0.0	1	0	0	0.0012033694344163659	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0012033694344163659	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
XPNPEP2	0.0	2	0	1	0.0009876543209876543	0.0004938271604938272	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.3333333333333333	0.6666666666666666	0.0	0.5	0.0	0.0	0.0	0.0	104.0	0.0009876543209876543	0.0	104.0	16.0	0.0	0.5	0	0	0	0	0.0	1.0	0	Unlabeled
COL21A1_ENST00000535941	0.0003479471120389701	2	0	0	0.0006958942240779402	0.0	0.0	0.0	2.0	16.0	0.0	0.0	2.0	1.0	1.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0006958942240779402	0.0003479471120389701	1.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
SRP54	0.0	2	0	0	0.0013201320132013201	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0013201320132013201	0.0	104.0	16.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
HNRPLL	0.0	1	0	0	0.0006195786864931846	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0006195786864931846	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
PYGO2	0.000819000819000819	1	0	0	0.000819000819000819	0.0	0.0	0.0	1.0	16.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.000819000819000819	0.0	0.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
MYO9B_ENST00000319396	0.0004633920296570899	5	0	0	0.0007723200494284832	0.0	0.0	0.0	1.6666666666666667	16.0	0.0	0.0	1.6666666666666667	0.3333333333333333	0.975	0.0	0.5555555555555556	0.0	0.0	0.0	0.0	0.00015446400988569664	0.0	2.0	0.0009267840593141798	0.00015446400988569664	0.3333333333333333	16.0	-2.220446049250313e-16	0.2	0	0	0	0	0	0	0	Unlabeled
SDC4	0.0	1	0	0	0.0016750418760469012	0.0	88.0	88.0	88.0	16.0	104.0	104.0	104.0	104.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0016750418760469012	0.0	104.0	16.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SYTL2	0.0002618486514794449	3	0	1	0.0007855459544383347	0.0002618486514794449	1.0	0.0	3.0	16.0	1.0	0.0	3.0	0.0	0	0.2	0.6	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	3.0	0.0007855459544383347	0.0	0.0	16.0	0.05663301226513251	0.6666666666666666	0	0	0	0	0.0	1.0	0	Unlabeled
CRTAC1_ENST00000370591	0.0010319917440660474	5	0	0	0.0025799793601651187	0.0	0.0	0.0	2.5	16.0	0.0	0.0	2.5	0.0	0	0.0	0.7142857142857143	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0025799793601651187	0.0	0.0	16.0	-2.220446049250313e-16	0.2	0	0	0	0	0	0	0	Unlabeled
