ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
IWS1	IWS1, SUPT6H interacting protein(IWS1)	Homo sapiens			General function prediction only,	GO:0006351~transcription, DNA-templated,GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0010793~regulation of mRNA export from nucleus,GO:0032784~regulation of DNA-templated transcription, elongation,GO:0050684~regulation of mRNA processing,GO:0051028~mRNA transport,GO:0090239~regulation of histone H4 acetylation,GO:2001253~regulation of histone H3-K36 trimethylation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,	GO:0003677~DNA binding,GO:0005515~protein binding,	IPR017923:Transcription factor IIS, N-terminal,					Acetylation,Alternative splicing,Complete proteome,mRNA processing,mRNA splicing,mRNA transport,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transcription,Transcription regulation,Transport,	chain:Protein IWS1 homolog,compositionally biased region:Glu-rich,domain:TFIIS N-terminal,modified residue,region of interest:3 X approximate tandem repeats,repeat:1,repeat:2,repeat:3; half-length,sequence conflict,sequence variant,splice variant,
LARP1	La ribonucleoprotein domain family member 1(LARP1)	Homo sapiens			Posttranslational modification, protein turnover, chaperones / Translation, ribosomal structure and biogenesis,	GO:0006413~translational initiation,GO:0008283~cell proliferation,GO:0016239~positive regulation of macroautophagy,GO:0031929~TOR signaling,GO:0045070~positive regulation of viral genome replication,GO:0045727~positive regulation of translation,GO:0098609~cell-cell adhesion,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005913~cell-cell adherens junction,GO:0016020~membrane,GO:0031931~TORC1 complex,	GO:0000339~RNA cap binding,GO:0003730~mRNA 3'-UTR binding,GO:0005515~protein binding,GO:0008190~eukaryotic initiation factor 4E binding,GO:0008494~translation activator activity,GO:0031369~translation initiation factor binding,GO:0044822~poly(A) RNA binding,GO:0048027~mRNA 5'-UTR binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR006607:Protein of unknown function DM15,IPR006630:RNA-binding protein Lupus La,IPR011991:Winged helix-turn-helix DNA-binding domain,				SM00684:DM15,SM00715:LA,	3D-structure,Acetylation,Alternative splicing,Complete proteome,Cytoplasm,Direct protein sequencing,Isopeptide bond,Methylation,Phosphoprotein,Protein biosynthesis,Proteomics identification,Reference proteome,RNA-binding,Ubl conjugation,	chain:La-related protein 1,compositionally biased region:Poly-Gly,domain:HTH La-type RNA-binding,modified residue,sequence conflict,splice variant,
LARP4B	La ribonucleoprotein domain family member 4B(LARP4B)	Homo sapiens				GO:0045727~positive regulation of translation,	GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0010494~cytoplasmic stress granule,GO:0016020~membrane,GO:0042788~polysomal ribosome,	GO:0000166~nucleotide binding,GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,	IPR006630:RNA-binding protein Lupus La,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR012677:Nucleotide-binding, alpha-beta plait,				SM00715:LA,	3D-structure,Acetylation,Complete proteome,Cytoplasm,Methylation,Phosphoprotein,Proteomics identification,Reference proteome,RNA-binding,Translation regulation,	chain:La-related protein 4B,domain:HTH La-type RNA-binding,domain:RRM,modified residue,
MGA	MGA, MAX dimerization protein(MGA)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0071339~MLL1 complex,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0046983~protein dimerization activity,	IPR001699:Transcription factor, T-box,IPR008967:p53-like transcription factor, DNA-binding,IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain,IPR018186:Transcription factor, T-box, conserved site,				SM00353:HLH,SM00425:TBOX,	Alternative splicing,Coiled coil,Complete proteome,DNA-binding,Isopeptide bond,Methylation,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repressor,Transcription,Transcription regulation,Ubl conjugation,	chain:MAX gene-associated protein,compositionally biased region:Gln-rich,compositionally biased region:Poly-Ser,compositionally biased region:Thr-rich,DNA-binding region:Basic motif,DNA-binding region:T-box,domain:Helix-loop-helix motif,modified residue,sequence conflict,sequence variant,splice variant,
MIS18BP1	MIS18 binding protein 1(MIS18BP1)	Homo sapiens				GO:0007067~mitotic nuclear division,GO:0034080~CENP-A containing nucleosome assembly,GO:0051301~cell division,	GO:0000778~condensed nuclear chromosome kinetochore,GO:0005654~nucleoplasm,	GO:0003677~DNA binding,GO:0005515~protein binding,	IPR001005:SANT/Myb domain,IPR009057:Homeodomain-like,IPR015216:SANT associated,IPR017884:SANT domain,				SM00717:SANT,	3D-structure,Alternative splicing,Cell cycle,Cell division,Centromere,Chromosome,Complete proteome,DNA-binding,Isopeptide bond,Mitosis,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Ubl conjugation,	chain:Kinetochore-associated protein KNL-2 homolog,compositionally biased region:Poly-Asp,domain:SANT,helix,modified residue,sequence conflict,sequence variant,splice variant,strand,turn,
PDS5B	PDS5 cohesin associated factor B(PDS5B)	Homo sapiens				GO:0006281~DNA repair,GO:0007062~sister chromatid cohesion,GO:0007064~mitotic sister chromatid cohesion,GO:0008283~cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0042127~regulation of cell proliferation,GO:0051301~cell division,	GO:0000775~chromosome, centromeric region,GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005829~cytosol,	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0005524~ATP binding,	IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,					3D-structure,Acetylation,Alternative splicing,Cell cycle,Cell division,Complete proteome,Mitosis,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,	chain:Sister chromatid cohesion protein PDS5 homolog B,DNA-binding region:A.T hook 1,DNA-binding region:A.T hook 2,DNA-binding region:A.T hook 3,modified residue,repeat:HEAT,sequence conflict,splice variant,
PHF14	PHD finger protein 14(PHF14)	Homo sapiens			General function prediction only,	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0048286~lung alveolus development,GO:2000584~negative regulation of platelet-derived growth factor receptor-alpha signaling pathway,GO:2000791~negative regulation of mesenchymal cell proliferation involved in lung development,	GO:0005634~nucleus,	GO:0008270~zinc ion binding,	IPR001965:Zinc finger, PHD-type,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,				SM00249:PHD,	Alternative initiation,Alternative splicing,Coiled coil,Complete proteome,Metal-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Zinc,Zinc-finger,	chain:PHD finger protein 14,compositionally biased region:Glu/Lys-rich,modified residue,sequence conflict,sequence variant,splice variant,zinc finger region:PHD-type 1,zinc finger region:PHD-type 2,
RASA1	RAS p21 protein activator 1(RASA1)	Homo sapiens		h_egfPathway:EGF Signaling Pathway,h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF,h_igf1Pathway:IGF-1 Signaling Pathway,h_insulinPathway:Insulin Signaling Pathway,h_metPathway:Signaling of Hepatocyte Growth Factor Receptor,h_pdgfPathway:PDGF Signaling Pathway,h_sam68Pathway:Regulation of Splicing through Sam68,h_spryPathway:Sprouty regulation of tyrosine kinase signals,h_tcrPathway:T Cell Receptor Signaling Pathway,h_tpoPathway:TPO Signaling Pathway,		GO:0000165~MAPK cascade,GO:0000281~mitotic cytokinesis,GO:0001570~vasculogenesis,GO:0001953~negative regulation of cell-matrix adhesion,GO:0007162~negative regulation of cell adhesion,GO:0007165~signal transduction,GO:0008360~regulation of cell shape,GO:0009790~embryo development,GO:0030833~regulation of actin filament polymerization,GO:0035556~intracellular signal transduction,GO:0043524~negative regulation of neuron apoptotic process,GO:0043547~positive regulation of GTPase activity,GO:0046580~negative regulation of Ras protein signal transduction,GO:0048013~ephrin receptor signaling pathway,GO:0048514~blood vessel morphogenesis,GO:0051252~regulation of RNA metabolic process,	GO:0001726~ruffle,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0031235~intrinsic component of the cytoplasmic side of the plasma membrane,	GO:0001948~glycoprotein binding,GO:0005096~GTPase activator activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0019870~potassium channel inhibitor activity,GO:0051020~GTPase binding,	IPR000008:C2 calcium-dependent membrane targeting,IPR000980:SH2 domain,IPR001452:Src homology-3 domain,IPR001849:Pleckstrin homology domain,IPR001936:Ras GTPase-activating protein,IPR008936:Rho GTPase activation protein,IPR011993:Pleckstrin homology-like domain,IPR023152:Ras GTPase-activating protein, conserved site,	hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04360:Axon guidance,	605462~Basal cell carcinoma, somatic,608354~Capillary malformation-arteriovenous malformation,608355~Parkes Weber syndrome,		SM00233:PH,SM00239:C2,SM00252:SH2,SM00323:RasGAP,SM00326:SH3,	3D-structure,Acetylation,Alternative splicing,Complete proteome,Cytoplasm,Direct protein sequencing,Disease mutation,GTPase activation,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,SH2 domain,SH3 domain,Tumor suppressor,	chain:Ras GTPase-activating protein 1,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Gly,compositionally biased region:Poly-Pro,domain:C2,domain:PH,domain:Ras-GAP,domain:SH2 1,domain:SH2 2,domain:SH3,helix,modified residue,sequence conflict,sequence variant,splice variant,strand,turn,
RB1	RB transcriptional corepressor 1(RB1)	Homo sapiens	94.E2F_transcriptional_activity_cell_cycle,	h_arfPathway:Tumor Suppressor Arf Inhibits Ribosomal Biogenesis,h_btg2Pathway:BTG family proteins and cell cycle regulation,h_cellcyclePathway:Cyclins and Cell Cycle Regulation,h_fasPathway:FAS signaling pathway ( CD95 ),h_fbw7Pathway:Cyclin E Destruction Pathway,h_g1Pathway:Cell Cycle: G1/S Check Point ,h_hcmvPathway:Human Cytomegalovirus and Map Kinase Pathways,h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF,h_p27Pathway:Regulation of p27 Phosphorylation during Cell Cycle Progression,h_p53Pathway:p53 Signaling Pathway,h_pmlPathway:Regulation of transcriptional activity by PML,h_PparaPathway:Mechanism of Gene Regulation by Peroxisome Proliferators via PPARa(alpha),h_raccycdPathway:Influence of Ras and Rho proteins on G1 to S Transition,h_rbPathway:RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage,h_skp2e2fPathway:E2F1 Destruction Pathway,h_telPathway:Telomeres, Telomerase, Cellular Aging, and  Immortality,h_tercPathway:Overview of telomerase RNA component gene hTerc Transcriptional Regulation,h_tidPathway:Chaperones modulate interferon Signaling Pathway,h_tnfr1Pathway:TNFR1 Signaling Pathway,		GO:0000075~cell cycle checkpoint,GO:0000082~G1/S transition of mitotic cell cycle,GO:0000083~regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001558~regulation of cell growth,GO:0001894~tissue homeostasis,GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006469~negative regulation of protein kinase activity,GO:0006915~apoptotic process,GO:0007050~cell cycle arrest,GO:0007070~negative regulation of transcription from RNA polymerase II promoter during mitosis,GO:0007093~mitotic cell cycle checkpoint,GO:0007265~Ras protein signal transduction,GO:0007346~regulation of mitotic cell cycle,GO:0008285~negative regulation of cell proliferation,GO:0010629~negative regulation of gene expression,GO:0016032~viral process,GO:0016569~covalent chromatin modification,GO:0030521~androgen receptor signaling pathway,GO:0031134~sister chromatid biorientation,GO:0031175~neuron projection development,GO:0034088~maintenance of mitotic sister chromatid cohesion,GO:0034349~glial cell apoptotic process,GO:0035914~skeletal muscle cell differentiation,GO:0042551~neuron maturation,GO:0043353~enucleate erythrocyte differentiation,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0043550~regulation of lipid kinase activity,GO:0045445~myoblast differentiation,GO:0045651~positive regulation of macrophage differentiation,GO:0045842~positive regulation of mitotic metaphase/anaphase transition,GO:0045879~negative regulation of smoothened signaling pathway,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048565~digestive tract development,GO:0048667~cell morphogenesis involved in neuron differentiation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0051146~striated muscle cell differentiation,GO:0051301~cell division,GO:0051402~neuron apoptotic process,GO:0051726~regulation of cell cycle,GO:0071459~protein localization to chromosome, centromeric region,GO:0071466~cellular response to xenobiotic stimulus,GO:0071922~regulation of cohesin loading,GO:0071930~negative regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0090230~regulation of centromere complex assembly,GO:0097284~hepatocyte apoptotic process,GO:2000134~negative regulation of G1/S transition of mitotic cell cycle,GO:2000679~positive regulation of transcription regulatory region DNA binding,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005819~spindle,GO:0008024~cyclin/CDK positive transcription elongation factor complex,GO:0016514~SWI/SNF complex,GO:0016605~PML body,GO:0035189~Rb-E2F complex,	GO:0001047~core promoter binding,GO:0001102~RNA polymerase II activating transcription factor binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003713~transcription coactivator activity,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0019900~kinase binding,GO:0031625~ubiquitin protein ligase binding,GO:0042802~identical protein binding,GO:0050681~androgen receptor binding,GO:0051219~phosphoprotein binding,	IPR002719:Retinoblastoma-associated protein, B-box,IPR002720:Retinoblastoma-associated protein, A-box,IPR013763:Cyclin-like,IPR015030:Rb C-terminal,IPR024599:Domain of unknown function DUF3452, retinoblastoma-associated,	hsa04110:Cell cycle,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05212:Pancreatic cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,	109800~Bladder cancer, somatic,180200~Retinoblastoma,180200~Retinoblastoma, trilateral,182280~Small cell cancer of the lung, somatic,259500~Osteosarcoma, somatic,		SM00385:CYCLIN,SM01367:SM01367,SM01368:SM01368,SM01369:SM01369,	3D-structure,Acetylation,Cell cycle,Chromatin regulator,Complete proteome,Direct protein sequencing,Disease mutation,DNA-binding,Host-virus interaction,Methylation,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repressor,Transcription,Transcription regulation,Tumor suppressor,	chain:Retinoblastoma-associated protein,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Pro,helix,modified residue,mutagenesis site,region of interest:Domain A,region of interest:Domain B,region of interest:Domain C; mediates interaction with E4F1,region of interest:Interaction with LIMD1,region of interest:Pocket; binds T and E1A,region of interest:Spacer,sequence conflict,sequence variant,short sequence motif:Nuclear localization signal,strand,turn,
RBM6	RNA binding motif protein 6(RBM6)	Homo sapiens			Function unknown,	GO:0006396~RNA processing,	GO:0005634~nucleus,	GO:0000166~nucleotide binding,GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,	IPR000467:G-patch domain,IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,				SM00360:RRM,SM00443:G_patch,	Alternative splicing,Coiled coil,Complete proteome,Isopeptide bond,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,RNA-binding,Ubl conjugation,	chain:RNA-binding protein 6,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Pro,domain:G-patch,domain:RRM,modified residue,sequence conflict,sequence variant,
ARHGAP35	Rho GTPase activating protein 35(ARHGAP35)	Homo sapiens				GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001843~neural tube closure,GO:0006351~transcription, DNA-templated,GO:0007264~small GTPase mediated signal transduction,GO:0007411~axon guidance,GO:0007413~axonal fasciculation,GO:0008064~regulation of actin polymerization or depolymerization,GO:0008360~regulation of cell shape,GO:0010976~positive regulation of neuron projection development,GO:0016477~cell migration,GO:0021955~central nervous system neuron axonogenesis,GO:0030879~mammary gland development,GO:0030900~forebrain development,GO:0030950~establishment or maintenance of actin cytoskeleton polarity,GO:0031668~cellular response to extracellular stimulus,GO:0032956~regulation of actin cytoskeleton organization,GO:0035024~negative regulation of Rho protein signal transduction,GO:0043010~camera-type eye development,GO:0043116~negative regulation of vascular permeability,GO:0043547~positive regulation of GTPase activity,GO:0044319~wound healing, spreading of cells,GO:0045724~positive regulation of cilium assembly,GO:0045892~negative regulation of transcription, DNA-templated,GO:0050770~regulation of axonogenesis,GO:0051056~regulation of small GTPase mediated signal transduction,GO:0097485~neuron projection guidance,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0015629~actin cytoskeleton,GO:0036064~ciliary basal body,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003714~transcription corepressor activity,GO:0005096~GTPase activator activity,GO:0005525~GTP binding,GO:0005543~phospholipid binding,	IPR000198:Rho GTPase-activating protein domain,IPR001806:Small GTPase superfamily,IPR002713:FF domain,IPR008936:Rho GTPase activation protein,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04510:Focal adhesion,hsa04611:Platelet activation,hsa04670:Leukocyte transendothelial migration,hsa04810:Regulation of actin cytoskeleton,			SM00324:RhoGAP,SM00441:FF,	3D-structure,Cell membrane,Cell projection,Complete proteome,Cytoplasm,Cytoskeleton,DNA-binding,GTPase activation,Membrane,Nucleus,Phosphoprotein,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,	chain:Glucocorticoid receptor DNA-binding factor 1,compositionally biased region:Pro-rich,domain:FF 1,domain:FF 2,domain:FF 3,domain:FF 4,domain:Rho-GAP,helix,modified residue,sequence conflict,splice variant,strand,turn,
SETD2	SET domain containing 2(SETD2)	Homo sapiens				GO:0001525~angiogenesis,GO:0001763~morphogenesis of a branching structure,GO:0001843~neural tube closure,GO:0006298~mismatch repair,GO:0006355~regulation of transcription, DNA-templated,GO:0006368~transcription elongation from RNA polymerase II promoter,GO:0010793~regulation of mRNA export from nucleus,GO:0030900~forebrain development,GO:0034728~nucleosome organization,GO:0035441~cell migration involved in vasculogenesis,GO:0048332~mesoderm morphogenesis,GO:0048701~embryonic cranial skeleton morphogenesis,GO:0048864~stem cell development,GO:0060039~pericardium development,GO:0060669~embryonic placenta morphogenesis,GO:0060977~coronary vasculature morphogenesis,GO:0097198~histone H3-K36 trimethylation,GO:0097676~histone H3-K36 dimethylation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,	GO:0005515~protein binding,GO:0018024~histone-lysine N-methyltransferase activity,GO:0046975~histone methyltransferase activity (H3-K36 specific),	IPR001202:WW domain,IPR001214:SET domain,IPR003616:Post-SET domain,IPR006560:AWS,IPR009078:Ferritin-like superfamily,IPR013257:SRI, Set2 Rpb1 interacting,	hsa00310:Lysine degradation,			SM00317:SET,SM00456:WW,SM00508:PostSET,SM00570:AWS,	3D-structure,Activator,Alternative splicing,Autism spectrum disorder,Chromatin regulator,Chromosome,Coiled coil,Complete proteome,Isopeptide bond,Mental retardation,Methyltransferase,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,S-adenosyl-L-methionine,Transcription,Transcription regulation,Transferase,Ubl conjugation,	chain:Histone-lysine N-methyltransferase SETD2,compositionally biased region:Arg-rich,compositionally biased region:Gln-rich,compositionally biased region:Pro-rich,domain:AWS,domain:Post-SET,domain:SET,domain:WW,helix,modified residue,mutagenesis site,region of interest:Interaction with POLR2A,region of interest:Low charge region,sequence conflict,sequence variant,splice variant,strand,turn,
SIN3A	SIN3 transcription regulator family member A(SIN3A)	Homo sapiens		h_etsPathway:METS affect on Macrophage Differentiation,		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001701~in utero embryonic development,GO:0002218~activation of innate immune response,GO:0002230~positive regulation of defense response to virus by host,GO:0002244~hematopoietic progenitor cell differentiation,GO:0006260~DNA replication,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006476~protein deacetylation,GO:0007568~aging,GO:0010817~regulation of hormone levels,GO:0010971~positive regulation of G2/M transition of mitotic cell cycle,GO:0016575~histone deacetylation,GO:0031937~positive regulation of chromatin silencing,GO:0034613~cellular protein localization,GO:0042754~negative regulation of circadian rhythm,GO:0043066~negative regulation of apoptotic process,GO:0043619~regulation of transcription from RNA polymerase II promoter in response to oxidative stress,GO:0044255~cellular lipid metabolic process,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048511~rhythmic process,GO:0051595~response to methylglyoxal,GO:0071333~cellular response to glucose stimulus,GO:1900181~negative regulation of protein localization to nucleus,GO:1901675~negative regulation of histone H3-K27 acetylation,GO:1903351~cellular response to dopamine,GO:2000678~negative regulation of transcription regulatory region DNA binding,	GO:0000776~kinetochore,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0016580~Sin3 complex,GO:0017053~transcriptional repressor complex,GO:0045171~intercellular bridge,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0001102~RNA polymerase II activating transcription factor binding,GO:0001103~RNA polymerase II repressing transcription factor binding,GO:0001106~RNA polymerase II transcription corepressor activity,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003723~RNA binding,GO:0004407~histone deacetylase activity,GO:0005515~protein binding,GO:0032403~protein complex binding,GO:0033558~protein deacetylase activity,	IPR003822:Paired amphipathic helix,IPR013194:Histone deacetylase interacting,	hsa04919:Thyroid hormone signaling pathway,hsa05016:Huntington's disease,hsa05202:Transcriptional misregulation in cancer,			SM00761:HDAC_interact,	3D-structure,Acetylation,Biological rhythms,Coiled coil,Complete proteome,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Ubl conjugation,	chain:Paired amphipathic helix protein Sin3a,modified residue,region of interest:Interaction with HCFC1,region of interest:Interaction with NCOR1,region of interest:Interaction with REST,region of interest:Interaction with SAP30,region of interest:Interactions with HDAC1 and ARID4B,region of interest:Interactions with SUDS3 and SAP130,repeat:PAH 1,repeat:PAH 2,repeat:PAH 3,sequence conflict,sequence variant,
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3(SRGAP3)	Homo sapiens				GO:0007165~signal transduction,GO:0030336~negative regulation of cell migration,GO:0043547~positive regulation of GTPase activity,GO:0051056~regulation of small GTPase mediated signal transduction,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0048365~Rac GTPase binding,	IPR000198:Rho GTPase-activating protein domain,IPR001060:FCH domain,IPR001452:Src homology-3 domain,IPR008936:Rho GTPase activation protein,	hsa04360:Axon guidance,			SM00055:FCH,SM00324:RhoGAP,SM00326:SH3,	Alternative splicing,Chromosomal rearrangement,Coiled coil,Complete proteome,GTPase activation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,SH3 domain,	chain:SLIT-ROBO Rho GTPase-activating protein 3,domain:FCH,domain:Rho-GAP,domain:SH3,modified residue,sequence variant,splice variant,
SCAF4	SR-related CTD associated factor 4(SCAF4)	Homo sapiens					GO:0005654~nucleoplasm,	GO:0000166~nucleotide binding,GO:0044822~poly(A) RNA binding,	IPR000504:RNA recognition motif domain,IPR006569:CID domain,IPR006903:RNA polymerase II-binding domain,IPR008942:ENTH/VHS,IPR012677:Nucleotide-binding, alpha-beta plait,				SM00360:RRM,SM00582:RPR,	Acetylation,Alternative splicing,Complete proteome,Nucleus,Phosphoprotein,Polymorphism,Reference proteome,RNA-binding,	chain:Splicing factor, arginine/serine-rich 15,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Pro,domain:CID,domain:RRM,modified residue,sequence conflict,sequence variant,splice variant,
TTK	TTK protein kinase(TTK)	Homo sapiens				GO:0007051~spindle organization,GO:0007052~mitotic spindle organization,GO:0007093~mitotic cell cycle checkpoint,GO:0007094~mitotic spindle assembly checkpoint,GO:0008284~positive regulation of cell proliferation,GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0016321~female meiosis chromosome segregation,GO:0018105~peptidyl-serine phosphorylation,GO:0018107~peptidyl-threonine phosphorylation,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0033316~meiotic spindle assembly checkpoint,GO:0034501~protein localization to kinetochore,GO:0046777~protein autophosphorylation,GO:0051304~chromosome separation,GO:1903096~protein localization to meiotic spindle midzone,	GO:0000776~kinetochore,GO:0005737~cytoplasm,GO:0005819~spindle,GO:0016020~membrane,	GO:0004674~protein serine/threonine kinase activity,GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0042803~protein homodimerization activity,	IPR000719:Protein kinase, catalytic domain,IPR008271:Serine/threonine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR011990:Tetratricopeptide-like helical,IPR017441:Protein kinase, ATP binding site,IPR027084:Dual specificity protein kinase TTK,	hsa04110:Cell cycle,			SM00220:S_TKc,	3D-structure,Acetylation,Alternative splicing,ATP-binding,Complete proteome,Kinase,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Serine/threonine-protein kinase,Transferase,Tyrosine-protein kinase,	active site:Proton acceptor,binding site:ATP,chain:Dual specificity protein kinase TTK,domain:Protein kinase,helix,modified residue,mutagenesis site,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,strand,turn,
WAC	WW domain containing adaptor with coiled-coil(WAC)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006974~cellular response to DNA damage stimulus,GO:0010390~histone monoubiquitination,GO:0016239~positive regulation of macroautophagy,GO:0032435~negative regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0044783~G1 DNA damage checkpoint,GO:0045893~positive regulation of transcription, DNA-templated,GO:0071894~histone H2B conserved C-terminal lysine ubiquitination,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,GO:0016607~nuclear speck,	GO:0000993~RNA polymerase II core binding,GO:0003682~chromatin binding,GO:0005515~protein binding,	IPR001202:WW domain,				SM00456:WW,	Acetylation,Alternative splicing,Chromatin regulator,Coiled coil,Complete proteome,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:WW domain-containing adapter protein with coiled-coil,domain:WW,modified residue,sequence conflict,sequence variant,splice variant,
