ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
NIPBL	NIPBL, cohesin loading factor(NIPBL)	Homo sapiens				GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001656~metanephros development,GO:0003007~heart morphogenesis,GO:0003151~outflow tract morphogenesis,GO:0006974~cellular response to DNA damage stimulus,GO:0007064~mitotic sister chromatid cohesion,GO:0007420~brain development,GO:0007605~sensory perception of sound,GO:0010468~regulation of gene expression,GO:0019827~stem cell population maintenance,GO:0031065~positive regulation of histone deacetylation,GO:0034088~maintenance of mitotic sister chromatid cohesion,GO:0034613~cellular protein localization,GO:0035115~embryonic forelimb morphogenesis,GO:0035136~forelimb morphogenesis,GO:0035261~external genitalia morphogenesis,GO:0040018~positive regulation of multicellular organism growth,GO:0042471~ear morphogenesis,GO:0042634~regulation of hair cycle,GO:0045444~fat cell differentiation,GO:0045778~positive regulation of ossification,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0045995~regulation of embryonic development,GO:0048557~embryonic digestive tract morphogenesis,GO:0048589~developmental growth,GO:0048592~eye morphogenesis,GO:0048638~regulation of developmental growth,GO:0048703~embryonic viscerocranium morphogenesis,GO:0050890~cognition,GO:0060325~face morphogenesis,GO:0061010~gall bladder development,GO:0061038~uterus morphogenesis,GO:0071481~cellular response to X-ray,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0032116~SMC loading complex,GO:0070062~extracellular exosome,	GO:0003682~chromatin binding,GO:0005515~protein binding,GO:0008022~protein C-terminus binding,GO:0036033~mediator complex binding,GO:0042826~histone deacetylase binding,GO:0047485~protein N-terminus binding,GO:0070087~chromo shadow domain binding,	IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,IPR024986:Sister chromatid cohesion C-terminal domain,IPR026003:HEAT repeat associated with sister chromatid cohesion protein,		122470~Cornelia de Lange syndrome 1,			Acetylation,Alternative splicing,Cell cycle,Complete proteome,Disease mutation,Mental retardation,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Nipped-B-like protein,compositionally biased region:Gln-rich,modified residue,repeat:HEAT 1,repeat:HEAT 2,repeat:HEAT 3,repeat:HEAT 4,repeat:HEAT 5,sequence conflict,sequence variant,short sequence motif:PxVxL motif,splice variant,
PAN3	PAN3 poly(A) specific ribonuclease subunit(PAN3)	Homo sapiens				GO:0000289~nuclear-transcribed mRNA poly(A) tail shortening,GO:0000290~deadenylation-dependent decapping of nuclear-transcribed mRNA,GO:0006397~mRNA processing,GO:0006468~protein phosphorylation,GO:0006605~protein targeting,GO:0010606~positive regulation of cytoplasmic mRNA processing body assembly,GO:0090503~RNA phosphodiester bond hydrolysis, exonucleolytic,	GO:0000932~cytoplasmic mRNA processing body,GO:0005829~cytosol,GO:0031251~PAN complex,	GO:0004535~poly(A)-specific ribonuclease activity,GO:0004672~protein kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0044822~poly(A) RNA binding,GO:0046872~metal ion binding,	IPR000571:Zinc finger, CCCH-type,IPR000719:Protein kinase, catalytic domain,IPR011009:Protein kinase-like domain,	hsa03018:RNA degradation,			SM00356:ZnF_C3H1,	Alternative splicing,ATP-binding,Coiled coil,Complete proteome,Cytoplasm,Metal-binding,mRNA processing,Nucleotide-binding,Phosphoprotein,Proteomics identification,Reference proteome,Zinc,Zinc-finger,	chain:PAB-dependent poly(A)-specific ribonuclease subunit 3,domain:Protein kinase,region of interest:Interaction with PAN2,region of interest:Interaction with polyadenylate-binding protein,sequence conflict,splice variant,
PSIP1	PC4 and SFRS1 interacting protein 1(PSIP1)	Homo sapiens				GO:0000395~mRNA 5'-splice site recognition,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006979~response to oxidative stress,GO:0009408~response to heat,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0051169~nuclear transport,GO:0075713~establishment of integrated proviral latency,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005720~nuclear heterochromatin,GO:0005829~cytosol,GO:0034399~nuclear periphery,GO:0035327~transcriptionally active chromatin,	GO:0001105~RNA polymerase II transcription coactivator activity,GO:0003682~chromatin binding,GO:0005515~protein binding,GO:0033613~activating transcription factor binding,GO:0044822~poly(A) RNA binding,GO:0097100~supercoiled DNA binding,	IPR000313:PWWP,IPR017859:Treacle-like, Treacher Collins Syndrome,IPR021567:Lens epithelium-derived growth factor (LEDGF),				SM00293:PWWP,	3D-structure,Alternative splicing,Chromosomal rearrangement,Citrullination,Coiled coil,Complete proteome,Direct protein sequencing,DNA-binding,Host-virus interaction,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:PC4 and SFRS1-interacting protein,domain:PWWP,helix,modified residue,mutagenesis site,sequence conflict,short sequence motif:Nuclear localization signal,splice variant,
PDS5B	PDS5 cohesin associated factor B(PDS5B)	Homo sapiens				GO:0006281~DNA repair,GO:0007062~sister chromatid cohesion,GO:0007064~mitotic sister chromatid cohesion,GO:0008283~cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0042127~regulation of cell proliferation,GO:0051301~cell division,	GO:0000775~chromosome, centromeric region,GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005829~cytosol,	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0005524~ATP binding,	IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,					3D-structure,Acetylation,Alternative splicing,Cell cycle,Cell division,Complete proteome,Mitosis,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,	chain:Sister chromatid cohesion protein PDS5 homolog B,DNA-binding region:A.T hook 1,DNA-binding region:A.T hook 2,DNA-binding region:A.T hook 3,modified residue,repeat:HEAT,sequence conflict,splice variant,
PHF10	PHD finger protein 10(PHF10)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007399~nervous system development,	GO:0005634~nucleus,GO:0071564~npBAF complex,	GO:0008270~zinc ion binding,	IPR001965:Zinc finger, PHD-type,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR019787:Zinc finger, PHD-finger,				SM00249:PHD,	Acetylation,Alternative splicing,Complete proteome,Isopeptide bond,Metal-binding,Neurogenesis,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,	chain:PHD finger protein 10,modified residue,region of interest:Essential to induce neural progenitor proliferation,region of interest:SAY,sequence conflict,splice variant,zinc finger region:PHD-type 1; degenerate,zinc finger region:PHD-type 2; degenerate,
PHF14	PHD finger protein 14(PHF14)	Homo sapiens			General function prediction only,	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0048286~lung alveolus development,GO:2000584~negative regulation of platelet-derived growth factor receptor-alpha signaling pathway,GO:2000791~negative regulation of mesenchymal cell proliferation involved in lung development,	GO:0005634~nucleus,	GO:0008270~zinc ion binding,	IPR001965:Zinc finger, PHD-type,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,				SM00249:PHD,	Alternative initiation,Alternative splicing,Coiled coil,Complete proteome,Metal-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Zinc,Zinc-finger,	chain:PHD finger protein 14,compositionally biased region:Glu/Lys-rich,modified residue,sequence conflict,sequence variant,splice variant,zinc finger region:PHD-type 1,zinc finger region:PHD-type 2,
PNISR	PNN interacting serine and arginine rich protein(PNISR)	Homo sapiens					GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016607~nuclear speck,	GO:0044822~poly(A) RNA binding,						Alternative splicing,Coiled coil,Complete proteome,Isopeptide bond,Nucleus,Phosphoprotein,Reference proteome,Ubl conjugation,	chain:Splicing factor, arginine/serine-rich 18,compositionally biased region:Gln-rich,compositionally biased region:Pro-rich,compositionally biased region:Ser-rich,modified residue,sequence conflict,splice variant,
QKI	QKI, KH domain containing RNA binding(QKI)	Homo sapiens				GO:0001570~vasculogenesis,GO:0006397~mRNA processing,GO:0007286~spermatid development,GO:0008380~RNA splicing,GO:0010628~positive regulation of gene expression,GO:0042552~myelination,GO:0042692~muscle cell differentiation,GO:0042759~long-chain fatty acid biosynthetic process,GO:0051028~mRNA transport,GO:0061158~3'-UTR-mediated mRNA destabilization,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0003723~RNA binding,GO:0003729~mRNA binding,GO:0005515~protein binding,GO:0017124~SH3 domain binding,GO:0044822~poly(A) RNA binding,	IPR004087:K Homology domain,IPR004088:K Homology domain, type 1,				SM00322:KH,	3D-structure,Alternative splicing,Complete proteome,Cytoplasm,Developmental protein,Differentiation,Methylation,mRNA processing,mRNA splicing,mRNA transport,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,RNA-binding,SH3-binding,Translation regulation,Transport,	chain:Protein quaking,domain:KH,sequence conflict,sequence variant,short sequence motif:Nuclear localization signal,short sequence motif:SH3-binding,splice variant,
RAD50	RAD50 double strand break repair protein(RAD50)	Homo sapiens		h_atmPathway:ATM Signaling Pathway,h_atrbrcaPathway:Role of BRCA1,  BRCA2 and ATR in Cancer Susceptibility,		GO:0000019~regulation of mitotic recombination,GO:0000722~telomere maintenance via recombination,GO:0000723~telomere maintenance,GO:0000724~double-strand break repair via homologous recombination,GO:0000729~DNA double-strand break processing,GO:0000731~DNA synthesis involved in DNA repair,GO:0000732~strand displacement,GO:0006260~DNA replication,GO:0006281~DNA repair,GO:0006302~double-strand break repair,GO:0006303~double-strand break repair via nonhomologous end joining,GO:0006310~DNA recombination,GO:0006974~cellular response to DNA damage stimulus,GO:0007004~telomere maintenance via telomerase,GO:0007131~reciprocal meiotic recombination,GO:0016032~viral process,GO:0031860~telomeric 3' overhang formation,GO:0031954~positive regulation of protein autophosphorylation,GO:0032206~positive regulation of telomere maintenance,GO:0032508~DNA duplex unwinding,GO:0033674~positive regulation of kinase activity,GO:0046939~nucleotide phosphorylation,GO:0070192~chromosome organization involved in meiotic cell cycle,GO:0090305~nucleic acid phosphodiester bond hydrolysis,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1904354~negative regulation of telomere capping,	GO:0000784~nuclear chromosome, telomeric region,GO:0000790~nuclear chromatin,GO:0000794~condensed nuclear chromosome,GO:0005654~nucleoplasm,GO:0016020~membrane,GO:0030870~Mre11 complex,GO:0035861~site of double-strand break,	GO:0000014~single-stranded DNA endodeoxyribonuclease activity,GO:0003677~DNA binding,GO:0003691~double-stranded telomeric DNA binding,GO:0004003~ATP-dependent DNA helicase activity,GO:0004017~adenylate kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008408~3'-5' exonuclease activity,GO:0016887~ATPase activity,GO:0030674~protein binding, bridging,GO:0043047~single-stranded telomeric DNA binding,GO:0046872~metal ion binding,GO:0051880~G-quadruplex DNA binding,	IPR004584:DNA repair protein Rad50,IPR013134:Zinc hook, Rad50,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa03440:Homologous recombination,hsa03450:Non-homologous end-joining,	613078~Nijmegen breakage syndrome-like disorder,			Acetylation,Alternative splicing,ATP-binding,Cell cycle,Chromosome,Coiled coil,Complete proteome,DNA damage,DNA repair,Host-virus interaction,Hydrolase,Meiosis,Metal-binding,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Telomere,Zinc,	chain:DNA repair protein RAD50,compositionally biased region:Ala/Asp-rich (DA-box),domain:Zinc-hook,metal ion-binding site:Zinc,modified residue,mutagenesis site,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,splice variant,
RASA1	RAS p21 protein activator 1(RASA1)	Homo sapiens		h_egfPathway:EGF Signaling Pathway,h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF,h_igf1Pathway:IGF-1 Signaling Pathway,h_insulinPathway:Insulin Signaling Pathway,h_metPathway:Signaling of Hepatocyte Growth Factor Receptor,h_pdgfPathway:PDGF Signaling Pathway,h_sam68Pathway:Regulation of Splicing through Sam68,h_spryPathway:Sprouty regulation of tyrosine kinase signals,h_tcrPathway:T Cell Receptor Signaling Pathway,h_tpoPathway:TPO Signaling Pathway,		GO:0000165~MAPK cascade,GO:0000281~mitotic cytokinesis,GO:0001570~vasculogenesis,GO:0001953~negative regulation of cell-matrix adhesion,GO:0007162~negative regulation of cell adhesion,GO:0007165~signal transduction,GO:0008360~regulation of cell shape,GO:0009790~embryo development,GO:0030833~regulation of actin filament polymerization,GO:0035556~intracellular signal transduction,GO:0043524~negative regulation of neuron apoptotic process,GO:0043547~positive regulation of GTPase activity,GO:0046580~negative regulation of Ras protein signal transduction,GO:0048013~ephrin receptor signaling pathway,GO:0048514~blood vessel morphogenesis,GO:0051252~regulation of RNA metabolic process,	GO:0001726~ruffle,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0031235~intrinsic component of the cytoplasmic side of the plasma membrane,	GO:0001948~glycoprotein binding,GO:0005096~GTPase activator activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0019870~potassium channel inhibitor activity,GO:0051020~GTPase binding,	IPR000008:C2 calcium-dependent membrane targeting,IPR000980:SH2 domain,IPR001452:Src homology-3 domain,IPR001849:Pleckstrin homology domain,IPR001936:Ras GTPase-activating protein,IPR008936:Rho GTPase activation protein,IPR011993:Pleckstrin homology-like domain,IPR023152:Ras GTPase-activating protein, conserved site,	hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04360:Axon guidance,	605462~Basal cell carcinoma, somatic,608354~Capillary malformation-arteriovenous malformation,608355~Parkes Weber syndrome,		SM00233:PH,SM00239:C2,SM00252:SH2,SM00323:RasGAP,SM00326:SH3,	3D-structure,Acetylation,Alternative splicing,Complete proteome,Cytoplasm,Direct protein sequencing,Disease mutation,GTPase activation,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,SH2 domain,SH3 domain,Tumor suppressor,	chain:Ras GTPase-activating protein 1,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Gly,compositionally biased region:Poly-Pro,domain:C2,domain:PH,domain:Ras-GAP,domain:SH2 1,domain:SH2 2,domain:SH3,helix,modified residue,sequence conflict,sequence variant,splice variant,strand,turn,
RB1	RB transcriptional corepressor 1(RB1)	Homo sapiens	94.E2F_transcriptional_activity_cell_cycle,	h_arfPathway:Tumor Suppressor Arf Inhibits Ribosomal Biogenesis,h_btg2Pathway:BTG family proteins and cell cycle regulation,h_cellcyclePathway:Cyclins and Cell Cycle Regulation,h_fasPathway:FAS signaling pathway ( CD95 ),h_fbw7Pathway:Cyclin E Destruction Pathway,h_g1Pathway:Cell Cycle: G1/S Check Point ,h_hcmvPathway:Human Cytomegalovirus and Map Kinase Pathways,h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF,h_p27Pathway:Regulation of p27 Phosphorylation during Cell Cycle Progression,h_p53Pathway:p53 Signaling Pathway,h_pmlPathway:Regulation of transcriptional activity by PML,h_PparaPathway:Mechanism of Gene Regulation by Peroxisome Proliferators via PPARa(alpha),h_raccycdPathway:Influence of Ras and Rho proteins on G1 to S Transition,h_rbPathway:RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage,h_skp2e2fPathway:E2F1 Destruction Pathway,h_telPathway:Telomeres, Telomerase, Cellular Aging, and  Immortality,h_tercPathway:Overview of telomerase RNA component gene hTerc Transcriptional Regulation,h_tidPathway:Chaperones modulate interferon Signaling Pathway,h_tnfr1Pathway:TNFR1 Signaling Pathway,		GO:0000075~cell cycle checkpoint,GO:0000082~G1/S transition of mitotic cell cycle,GO:0000083~regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001558~regulation of cell growth,GO:0001894~tissue homeostasis,GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006469~negative regulation of protein kinase activity,GO:0006915~apoptotic process,GO:0007050~cell cycle arrest,GO:0007070~negative regulation of transcription from RNA polymerase II promoter during mitosis,GO:0007093~mitotic cell cycle checkpoint,GO:0007265~Ras protein signal transduction,GO:0007346~regulation of mitotic cell cycle,GO:0008285~negative regulation of cell proliferation,GO:0010629~negative regulation of gene expression,GO:0016032~viral process,GO:0016569~covalent chromatin modification,GO:0030521~androgen receptor signaling pathway,GO:0031134~sister chromatid biorientation,GO:0031175~neuron projection development,GO:0034088~maintenance of mitotic sister chromatid cohesion,GO:0034349~glial cell apoptotic process,GO:0035914~skeletal muscle cell differentiation,GO:0042551~neuron maturation,GO:0043353~enucleate erythrocyte differentiation,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0043550~regulation of lipid kinase activity,GO:0045445~myoblast differentiation,GO:0045651~positive regulation of macrophage differentiation,GO:0045842~positive regulation of mitotic metaphase/anaphase transition,GO:0045879~negative regulation of smoothened signaling pathway,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048565~digestive tract development,GO:0048667~cell morphogenesis involved in neuron differentiation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0051146~striated muscle cell differentiation,GO:0051301~cell division,GO:0051402~neuron apoptotic process,GO:0051726~regulation of cell cycle,GO:0071459~protein localization to chromosome, centromeric region,GO:0071466~cellular response to xenobiotic stimulus,GO:0071922~regulation of cohesin loading,GO:0071930~negative regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0090230~regulation of centromere complex assembly,GO:0097284~hepatocyte apoptotic process,GO:2000134~negative regulation of G1/S transition of mitotic cell cycle,GO:2000679~positive regulation of transcription regulatory region DNA binding,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005819~spindle,GO:0008024~cyclin/CDK positive transcription elongation factor complex,GO:0016514~SWI/SNF complex,GO:0016605~PML body,GO:0035189~Rb-E2F complex,	GO:0001047~core promoter binding,GO:0001102~RNA polymerase II activating transcription factor binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003713~transcription coactivator activity,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0019900~kinase binding,GO:0031625~ubiquitin protein ligase binding,GO:0042802~identical protein binding,GO:0050681~androgen receptor binding,GO:0051219~phosphoprotein binding,	IPR002719:Retinoblastoma-associated protein, B-box,IPR002720:Retinoblastoma-associated protein, A-box,IPR013763:Cyclin-like,IPR015030:Rb C-terminal,IPR024599:Domain of unknown function DUF3452, retinoblastoma-associated,	hsa04110:Cell cycle,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05212:Pancreatic cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,	109800~Bladder cancer, somatic,180200~Retinoblastoma,180200~Retinoblastoma, trilateral,182280~Small cell cancer of the lung, somatic,259500~Osteosarcoma, somatic,		SM00385:CYCLIN,SM01367:SM01367,SM01368:SM01368,SM01369:SM01369,	3D-structure,Acetylation,Cell cycle,Chromatin regulator,Complete proteome,Direct protein sequencing,Disease mutation,DNA-binding,Host-virus interaction,Methylation,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repressor,Transcription,Transcription regulation,Tumor suppressor,	chain:Retinoblastoma-associated protein,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Pro,helix,modified residue,mutagenesis site,region of interest:Domain A,region of interest:Domain B,region of interest:Domain C; mediates interaction with E4F1,region of interest:Interaction with LIMD1,region of interest:Pocket; binds T and E1A,region of interest:Spacer,sequence conflict,sequence variant,short sequence motif:Nuclear localization signal,strand,turn,
RBM6	RNA binding motif protein 6(RBM6)	Homo sapiens			Function unknown,	GO:0006396~RNA processing,	GO:0005634~nucleus,	GO:0000166~nucleotide binding,GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,	IPR000467:G-patch domain,IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,				SM00360:RRM,SM00443:G_patch,	Alternative splicing,Coiled coil,Complete proteome,Isopeptide bond,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,RNA-binding,Ubl conjugation,	chain:RNA-binding protein 6,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Pro,domain:G-patch,domain:RRM,modified residue,sequence conflict,sequence variant,
RBMX	RNA binding motif protein, X-linked(RBMX)	Homo sapiens				GO:0000381~regulation of alternative mRNA splicing, via spliceosome,GO:0000398~mRNA splicing, via spliceosome,GO:0001649~osteoblast differentiation,GO:0006366~transcription from RNA polymerase II promoter,GO:0006376~mRNA splice site selection,GO:0006509~membrane protein ectodomain proteolysis,GO:0010467~gene expression,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048025~negative regulation of mRNA splicing, via spliceosome,GO:0048026~positive regulation of mRNA splicing, via spliceosome,GO:0051260~protein homooligomerization,GO:0071347~cellular response to interleukin-1,	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005719~nuclear euchromatin,GO:0016020~membrane,GO:0030529~intracellular ribonucleoprotein complex,GO:0044530~supraspliceosomal complex,GO:0070062~extracellular exosome,GO:0071013~catalytic step 2 spliceosome,	GO:0000166~nucleotide binding,GO:0001047~core promoter binding,GO:0003676~nucleic acid binding,GO:0003682~chromatin binding,GO:0003723~RNA binding,GO:0003727~single-stranded RNA binding,GO:0003729~mRNA binding,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0044822~poly(A) RNA binding,	IPR000504:RNA recognition motif domain,IPR003954:RNA recognition motif domain, eukaryote,IPR012604:RBM1CTR,IPR012677:Nucleotide-binding, alpha-beta plait,	hsa03040:Spliceosome,	300238~Mental retardation, X-linked, syndromic 11, Shashi type,		SM00360:RRM,SM00361:RRM_1,	3D-structure,Acetylation,Activator,Alternative splicing,Complete proteome,Direct protein sequencing,Glycoprotein,Isopeptide bond,Mental retardation,Methylation,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repressor,Ribonucleoprotein,RNA-binding,Spliceosome,Transcription,Tumor suppressor,Ubl conjugation,	chain:Heterogeneous nuclear ribonucleoprotein G,chain:Heterogeneous nuclear ribonucleoprotein G, N-terminally processed,domain:RRM,modified residue,sequence conflict,
RIN2	Ras and Rab interactor 2(RIN2)	Homo sapiens				GO:0006897~endocytosis,GO:0007165~signal transduction,GO:0007264~small GTPase mediated signal transduction,GO:0043547~positive regulation of GTPase activity,	GO:0005737~cytoplasm,	GO:0005096~GTPase activator activity,GO:0017112~Rab guanyl-nucleotide exchange factor activity,GO:0030695~GTPase regulator activity,	IPR000159:Ras-association,IPR000980:SH2 domain,IPR003123:Vacuolar sorting protein 9,		613075~Macrocephaly, alopecia, cutis laxa, and scoliosis,		SM00167:VPS9,SM00314:RA,	Alternative splicing,Complete proteome,Cytoplasm,Endocytosis,GTPase activation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,SH2 domain,	chain:Ras and Rab interactor 2,compositionally biased region:Poly-Pro,domain:Ras-associating,domain:SH2,domain:VPS9,modified residue,sequence conflict,sequence variant,splice variant,
ARHGAP35	Rho GTPase activating protein 35(ARHGAP35)	Homo sapiens				GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001843~neural tube closure,GO:0006351~transcription, DNA-templated,GO:0007264~small GTPase mediated signal transduction,GO:0007411~axon guidance,GO:0007413~axonal fasciculation,GO:0008064~regulation of actin polymerization or depolymerization,GO:0008360~regulation of cell shape,GO:0010976~positive regulation of neuron projection development,GO:0016477~cell migration,GO:0021955~central nervous system neuron axonogenesis,GO:0030879~mammary gland development,GO:0030900~forebrain development,GO:0030950~establishment or maintenance of actin cytoskeleton polarity,GO:0031668~cellular response to extracellular stimulus,GO:0032956~regulation of actin cytoskeleton organization,GO:0035024~negative regulation of Rho protein signal transduction,GO:0043010~camera-type eye development,GO:0043116~negative regulation of vascular permeability,GO:0043547~positive regulation of GTPase activity,GO:0044319~wound healing, spreading of cells,GO:0045724~positive regulation of cilium assembly,GO:0045892~negative regulation of transcription, DNA-templated,GO:0050770~regulation of axonogenesis,GO:0051056~regulation of small GTPase mediated signal transduction,GO:0097485~neuron projection guidance,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0015629~actin cytoskeleton,GO:0036064~ciliary basal body,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003714~transcription corepressor activity,GO:0005096~GTPase activator activity,GO:0005525~GTP binding,GO:0005543~phospholipid binding,	IPR000198:Rho GTPase-activating protein domain,IPR001806:Small GTPase superfamily,IPR002713:FF domain,IPR008936:Rho GTPase activation protein,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04510:Focal adhesion,hsa04611:Platelet activation,hsa04670:Leukocyte transendothelial migration,hsa04810:Regulation of actin cytoskeleton,			SM00324:RhoGAP,SM00441:FF,	3D-structure,Cell membrane,Cell projection,Complete proteome,Cytoplasm,Cytoskeleton,DNA-binding,GTPase activation,Membrane,Nucleus,Phosphoprotein,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,	chain:Glucocorticoid receptor DNA-binding factor 1,compositionally biased region:Pro-rich,domain:FF 1,domain:FF 2,domain:FF 3,domain:FF 4,domain:Rho-GAP,helix,modified residue,sequence conflict,splice variant,strand,turn,
